id;name;client_tariff_number;rule_number;status;publisher_name;created_at;updated_at;effective_date;expiration_date;file_date;file_amend_type;formula;parent_rule;rule_text
1;Account SMTP EXE;fuchsia Beauty;Reverse-engineered Falkland;invoice;Pants parse;2021-05-17T22:50:25;2021-05-18T05:46:31;2021-05-18;2021-05-18;2021-05-18;redefine Markets Bacon;../fake-data/blob/hipster.txt;89026;../fake-data/blob/hipster.txt
2;copying Sausages;Wyoming Rapids;Auto Meadow;pink Soft Handmade;Brand;2021-05-17T18:52:24;2021-05-17T11:51:31;2021-05-17;2021-05-17;2021-05-18;grey;../fake-data/blob/hipster.txt;73225;../fake-data/blob/hipster.txt
3;composite Account;cyan;West;Burundi Product Rubber;Orchestrator Mauritania;2021-05-17T19:45:37;2021-05-17T07:25:05;2021-05-17;2021-05-17;2021-05-18;quantify Shoes Beauty;../fake-data/blob/hipster.txt;27985;../fake-data/blob/hipster.txt
4;AI;interface sensor;solutions Dakota drive;e-markets;deposit;2021-05-17T17:05:37;2021-05-17T13:37:20;2021-05-18;2021-05-18;2021-05-17;initiatives Representative Account;../fake-data/blob/hipster.txt;98254;../fake-data/blob/hipster.txt
5;Auto;bandwidth-monitored deposit;Keys mint monetize;concept;Estates Focused;2021-05-18T01:35:44;2021-05-18T02:41:29;2021-05-17;2021-05-17;2021-05-17;Station Industrial Leone;../fake-data/blob/hipster.txt;17775;../fake-data/blob/hipster.txt
6;backing Electronics Garden;connect;Creative next-generation Small;Keyboard Games Ecuador;Investment Bahrain;2021-05-17T22:14:01;2021-05-17T14:16:00;2021-05-17;2021-05-17;2021-05-17;Saint Sports;../fake-data/blob/hipster.txt;56437;../fake-data/blob/hipster.txt
7;Leu;Electronics program;AI analyzer projection;Handmade;Up-sized HTTP Buckinghamshire;2021-05-18T03:21:35;2021-05-17T23:55:33;2021-05-17;2021-05-17;2021-05-18;Buckinghamshire Handcrafted;../fake-data/blob/hipster.txt;95622;../fake-data/blob/hipster.txt
8;reinvent Sausages Steel;Denar;Internal plum magenta;product;Assistant;2021-05-17T19:36:35;2021-05-17T09:08:39;2021-05-17;2021-05-18;2021-05-17;Expanded Orchestrator Soap;../fake-data/blob/hipster.txt;32183;../fake-data/blob/hipster.txt
9;e-tailers;array copy turn-key;Latvian;Integration;optical Practical Investor;2021-05-17T09:35:45;2021-05-18T06:17:47;2021-05-17;2021-05-17;2021-05-18;Loan;../fake-data/blob/hipster.txt;18949;../fake-data/blob/hipster.txt
10;attitude-oriented Paraguay;HDD Cambridgeshire;bandwidth-monitored;indigo;Administrator Kentucky;2021-05-18T03:59:36;2021-05-17T09:41:14;2021-05-18;2021-05-18;2021-05-17;Handmade Cheese Path;../fake-data/blob/hipster.txt;19480;../fake-data/blob/hipster.txt
